epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1177.93,0.85461,2.99564,1.37155,0.49575,0.30806,0.32908,0.22715,1.04103,2.29634,1.46177,0.000301446,0.000301446,0.000301446
2,2356.89,0.95892,1.96566,1.47515,0.37067,0.31318,0.21317,0.11908,1.62897,2.92642,2.33053,0.000544606,0.000544606,0.000544606
3,3529.04,0.96534,1.83164,1.49218,0.64224,0.31734,0.35008,0.24309,1.06784,1.99211,1.46628,0.000727772,0.000727772,0.000727772
4,4700.88,0.91802,1.70034,1.44508,0.52358,0.40477,0.40065,0.30044,0.95484,1.70366,1.33548,0.000639027,0.000639027,0.000639027
5,5873.02,0.86827,1.60499,1.39694,0.49465,0.39862,0.41197,0.30935,0.90032,1.72587,1.28309,0.000549036,0.000549036,0.000549036
6,7044.99,0.77936,1.42498,1.32213,0.5134,0.46449,0.47345,0.37427,0.78557,1.49932,1.16927,0.000459045,0.000459045,0.000459045
7,8213.28,0.73277,1.35355,1.27732,0.5117,0.52509,0.52478,0.42799,0.76134,1.34342,1.13827,0.000369054,0.000369054,0.000369054
8,9385.06,0.6923,1.18377,1.22606,0.63176,0.50889,0.55918,0.46343,0.70637,1.20557,1.0669,0.000279063,0.000279063,0.000279063
9,10556.7,0.64199,1.08492,1.19013,0.61593,0.54861,0.60085,0.50288,0.64806,1.06387,1.02403,0.000189072,0.000189072,0.000189072
10,11730.5,0.6079,0.97744,1.1592,0.61765,0.5917,0.61655,0.51988,0.62405,1.00664,0.99645,9.9081e-05,9.9081e-05,9.9081e-05
