epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.224,0.76005,1.88267,1.29003,0.65567,0.59086,0.62852,0.44779,0.91757,2.4244,1.48177,0.000548355,0.000548355,0.000548355
2,414.184,0.86607,1.48941,1.35831,0.53247,0.51968,0.49222,0.32106,1.13035,3.19579,1.94852,0.00104937,0.00104937,0.00104937
3,609.113,0.92932,1.41605,1.40146,0.69229,0.60418,0.5919,0.40281,1.11269,1.7961,1.80246,0.00149538,0.00149538,0.00149538
4,802.318,0.91611,1.30391,1.38113,0.64278,0.45673,0.46516,0.26167,1.31342,2.31471,2.0689,0.00141945,0.00141945,0.00141945
5,995.71,0.84255,1.18023,1.34157,0.69407,0.62024,0.62529,0.404,1.2424,1.92618,1.77421,0.00133693,0.00133693,0.00133693
6,1189.44,0.835,1.07184,1.31745,0.76629,0.5301,0.66688,0.49525,0.99555,1.67585,1.56692,0.00125442,0.00125442,0.00125442
7,1382.54,0.81887,1.06923,1.31429,0.69163,0.61449,0.68708,0.49565,0.94043,1.50213,1.41691,0.0011719,0.0011719,0.0011719
8,1576.95,0.81071,1.03052,1.31866,0.81591,0.73809,0.7729,0.60258,0.78556,1.02544,1.31357,0.00108938,0.00108938,0.00108938
9,1771.85,0.76801,0.97206,1.28446,0.85016,0.68485,0.76374,0.60302,0.86985,1.04559,1.42404,0.00100687,0.00100687,0.00100687
10,1970.97,0.74084,0.89889,1.26282,0.88212,0.7242,0.77816,0.62086,0.80297,1.00826,1.27366,0.000924352,0.000924352,0.000924352
11,2168.03,0.70332,0.95923,1.30437,0.8976,0.72862,0.82164,0.65696,0.77299,0.95024,1.28441,0.000841835,0.000841835,0.000841835
12,2367.47,0.6395,0.86042,1.2474,0.89503,0.69335,0.8028,0.66145,0.66167,0.94257,1.15958,0.000759318,0.000759318,0.000759318
13,2567.88,0.62672,0.81242,1.23513,0.78463,0.68787,0.74135,0.60142,0.72766,0.9841,1.21855,0.000676802,0.000676802,0.000676802
14,2768.22,0.58992,0.70233,1.20624,0.84876,0.72756,0.82122,0.70566,0.651,0.88808,1.12466,0.000594286,0.000594286,0.000594286
15,2967.98,0.5595,0.67557,1.17821,0.8789,0.73445,0.82624,0.68444,0.64886,0.86811,1.11829,0.000511769,0.000511769,0.000511769
16,3168.13,0.53508,0.63704,1.13625,0.94249,0.73314,0.82892,0.7202,0.56441,0.71856,1.01347,0.000429253,0.000429253,0.000429253
17,3368.01,0.53617,0.60103,1.15135,0.93905,0.74396,0.85696,0.74578,0.57484,0.66102,1.02752,0.000346736,0.000346736,0.000346736
18,3568.17,0.50569,0.56733,1.1157,0.91159,0.78219,0.86176,0.75321,0.54701,0.63741,1.00147,0.00026422,0.00026422,0.00026422
19,3767.87,0.48714,0.53274,1.10729,0.91984,0.77086,0.86101,0.75354,0.55606,0.64313,0.99786,0.000181703,0.000181703,0.000181703
20,3967.09,0.47727,0.52627,1.10077,0.97921,0.72667,0.85688,0.76355,0.5185,0.6025,0.96383,9.91865e-05,9.91865e-05,9.91865e-05
